# Matter power spectrum P(k) at redshift z=0
# for k=1.02888e-05 to 7545.77 h/Mpc,
# number of wavenumbers equal to 857
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.644618952212e-04       1.160468675169e+03 
       2.706220041051e-04       1.186524379815e+03 
       2.769256003577e-04       1.213160472821e+03 
       2.833760262292e-04       1.240389575300e+03 
       2.899767018207e-04       1.268224557657e+03 
       2.967311268978e-04       1.296678553079e+03 
       3.036428827461e-04       1.325764957737e+03 
       3.107156340700e-04       1.355497430783e+03 
       3.179531309359e-04       1.385889903306e+03 
       3.253592107604e-04       1.416956580428e+03 
       3.329378003452e-04       1.448711945088e+03 
       3.406929179586e-04       1.481170762361e+03 
       3.486286754667e-04       1.514348079621e+03 
       3.567492805132e-04       1.548259238081e+03 
       3.650590387503e-04       1.582919870579e+03 
       3.735623561220e-04       1.618345904541e+03 
       3.822637411995e-04       1.654553564863e+03 
       3.911678075725e-04       1.691559392754e+03 
       4.002792762947e-04       1.729380221417e+03 
       4.096029783876e-04       1.768033202927e+03 
       4.191438574014e-04       1.807535797315e+03 
       4.289069720363e-04       1.847905792725e+03 
       4.388974988251e-04       1.889161285966e+03 
       4.491207348773e-04       1.931320704263e+03 
       4.595821006879e-04       1.974402796711e+03 
       4.702871430116e-04       2.018426643726e+03 
       4.812415378036e-04       2.063411657530e+03 
       4.924510932288e-04       2.109377585695e+03 
       5.039217527420e-04       2.156344511130e+03 
       5.156595982387e-04       2.204332854524e+03 
       5.276708532800e-04       2.253363382298e+03 
       5.399618863922e-04       2.303457201638e+03 
       5.525392144439e-04       2.354635766018e+03 
       5.654095061007e-04       2.406920872178e+03 
       5.785795853618e-04       2.460334670729e+03 
       5.920564351774e-04       2.514899658534e+03 
       6.058472011518e-04       2.570638675917e+03 
       6.199591953315e-04       2.627574926515e+03 
       6.343999000828e-04       2.685731953793e+03 
       6.491769720583e-04       2.745133662774e+03 
       6.642982462573e-04       2.805804300125e+03 
       6.797717401795e-04       2.867768454059e+03 
       6.956056580762e-04       2.931051075460e+03 
       7.118083953002e-04       2.995677459337e+03 
       7.283885427573e-04       3.061673227353e+03 
       7.453548914611e-04       3.129064357296e+03 
       7.627164371944e-04       3.197877151067e+03 
       7.804823852783e-04       3.268138248275e+03 
       7.986621554539e-04       3.339874610930e+03 
       8.172653868758e-04       3.413113519361e+03 
       8.363019432236e-04       3.487882561365e+03 
       8.557819179315e-04       3.564209627864e+03 
       8.757156395399e-04       3.642122913638e+03 
       8.961136771719e-04       3.721650870025e+03 
       9.169868461369e-04       3.802822256573e+03 
       9.383462136655e-04       3.885666049107e+03 
       9.602031047771e-04       3.970211505086e+03 
       9.825691082846e-04       4.056488085512e+03 
       1.005456082939e-03       4.144525471505e+03 
       1.028876163718e-03       4.234353530190e+03 
       1.052841768257e-03       4.326002324625e+03 
       1.077365603438e-03       4.419502082248e+03 
       1.102460672122e-03       4.514883101571e+03 
       1.128140280048e-03       4.612175881095e+03 
       1.154418042883e-03       4.711410952147e+03 
       1.181307893444e-03       4.812618935407e+03 
       1.208824089088e-03       4.915830475931e+03 
       1.236981219263e-03       5.021076253753e+03 
       1.265794213255e-03       5.128386924303e+03 
       1.295278348094e-03       5.237793120651e+03 
       1.325449256657e-03       5.349314626854e+03 
       1.356322935961e-03       5.462987738335e+03 
       1.387915755639e-03       5.578846982305e+03 
       1.420244466621e-03       5.696922334477e+03 
       1.453326210019e-03       5.817244065461e+03 
       1.487178526210e-03       5.939841037492e+03 
       1.521819364141e-03       6.064743336342e+03 
       1.557267090843e-03       6.191979228895e+03 
       1.593540501169e-03       6.321577536345e+03 
       1.630658827762e-03       6.453566222161e+03 
       1.668641751249e-03       6.587972848896e+03 
       1.707509410681e-03       6.724824405657e+03 
       1.747282414203e-03       6.864147211756e+03 
       1.787981849989e-03       7.005966897926e+03 
       1.829629297419e-03       7.150308347996e+03 
       1.872246838521e-03       7.297195615607e+03 
       1.915857069678e-03       7.446651850783e+03 
       1.960483113613e-03       7.598699101012e+03 
       2.006148631645e-03       7.753358760497e+03 
       2.052877836236e-03       7.910650632088e+03 
       2.100695503829e-03       8.070593889881e+03 
       2.149626987983e-03       8.233205275206e+03 
       2.199698232821e-03       8.398501979892e+03 
       2.250935786778e-03       8.566498401627e+03 
       2.303366816684e-03       8.737207846269e+03 
       2.357019122165e-03       8.910641992580e+03 
       2.411921150383e-03       9.086810769331e+03 
       2.468102011121e-03       9.265721658895e+03 
       2.525591492214e-03       9.447382950350e+03 
       2.584420075346e-03       9.631795901793e+03 
       2.644618952212e-03       9.818964319300e+03 
       2.706220041051e-03       1.000889101216e+04 
       2.769256003577e-03       1.020157020909e+04 
       2.833760262292e-03       1.039699703024e+04 
       2.899767018207e-03       1.059516555012e+04 
       2.967311268978e-03       1.079606603444e+04 
       3.036428827461e-03       1.099968534208e+04 
       3.107156340700e-03       1.120600804488e+04 
       3.179531309359e-03       1.141501658004e+04 
       3.253592107604e-03       1.162668868477e+04 
       3.329378003452e-03       1.184099936605e+04 
       3.406929179586e-03       1.205792080313e+04 
       3.486286754667e-03       1.227742108736e+04 
       3.567492805132e-03       1.249946470366e+04 
       3.650590387503e-03       1.272401130382e+04 
       3.735623561220e-03       1.295101857776e+04 
       3.822637411995e-03       1.318043747603e+04 
       3.911678075725e-03       1.341221628403e+04 
       4.002792762947e-03       1.364629897661e+04 
       4.096029783876e-03       1.388262190121e+04 
       4.191438574014e-03       1.412112048928e+04 
       4.289069720363e-03       1.436172296072e+04 
       4.388974988251e-03       1.460435065066e+04 
       4.491207348773e-03       1.484892265913e+04 
       4.595821006879e-03       1.509535341134e+04 
       4.702871430116e-03       1.534350805307e+04 
       4.812415378036e-03       1.559335410476e+04 
       4.924510932288e-03       1.584476226289e+04 
       5.039217527420e-03       1.609760827746e+04 
       5.156595982387e-03       1.635179046223e+04 
       5.276708532800e-03       1.660724639869e+04 
       5.399618863922e-03       1.686376087923e+04 
       5.525392144439e-03       1.712123596032e+04 
       5.654095061007e-03       1.737950151513e+04 
       5.785795853618e-03       1.763788189214e+04 
       5.920564351774e-03       1.789725062113e+04 
       6.058472011518e-03       1.815692261294e+04 
       6.199591953315e-03       1.841673352122e+04 
       6.343999000828e-03       1.867645995937e+04 
       6.491769720583e-03       1.893608119481e+04 
       6.642982462573e-03       1.919505585671e+04 
       6.797717401795e-03       1.945351162096e+04 
       6.956056580762e-03       1.971127153446e+04 
       7.118083953002e-03       1.996802528149e+04 
       7.283885427573e-03       2.022330101790e+04 
       7.453548914611e-03       2.047729549767e+04 
       7.627164371944e-03       2.072983201468e+04 
       7.804823852783e-03       2.097976171872e+04 
       7.986621554539e-03       2.122746194774e+04 
       8.172653868758e-03       2.147251933092e+04 
       8.363019432236e-03       2.171566149630e+04 
       8.557819179315e-03       2.195479910753e+04 
       8.757156395399e-03       2.219056689594e+04 
       8.961136771719e-03       2.242152025277e+04 
       9.169868461369e-03       2.264935235547e+04 
       9.383462136655e-03       2.287350976097e+04 
       9.602031047771e-03       2.309123828317e+04 
       9.825691082846e-03       2.330551804182e+04 
       1.005456082939e-02       2.351227562734e+04 
       1.028876163718e-02       2.371497600790e+04 
       1.052841768257e-02       2.391035640255e+04 
       1.077365603438e-02       2.410044920472e+04 
       1.102460672122e-02       2.428171147283e+04 
       1.128140280048e-02       2.445677916608e+04 
       1.154418042883e-02       2.462427269969e+04 
       1.181307893444e-02       2.478284883731e+04 
       1.208824089088e-02       2.493277751578e+04 
       1.236981219263e-02       2.507298644450e+04 
       1.265794213255e-02       2.520490068542e+04 
       1.295278348094e-02       2.532488103168e+04 
       1.325449256657e-02       2.543715017878e+04 
       1.356322935961e-02       2.553611593681e+04 
       1.387915755639e-02       2.562524751747e+04 
       1.420244466621e-02       2.570283030912e+04 
       1.453326210019e-02       2.576759675461e+04 
       1.487178526212e-02       2.581971229566e+04 
       1.521819364145e-02       2.585755975279e+04 
       1.557267090851e-02       2.588350258857e+04 
       1.593540501188e-02       2.589575336735e+04 
       1.630658827804e-02       2.589406549795e+04 
       1.668641751344e-02       2.587616025722e+04 
       1.707509410885e-02       2.584430727586e+04 
       1.747282414639e-02       2.579736354120e+04 
       1.787981850899e-02       2.573453150085e+04 
       1.829629299281e-02       2.565581820049e+04 
       1.872246842262e-02       2.556133764969e+04 
       1.915857077056e-02       2.545090411636e+04 
       1.960483127898e-02       2.532271556976e+04 
       2.006148658813e-02       2.517918664223e+04 
       2.052877887008e-02       2.501769849238e+04 
       2.100695597099e-02       2.484031725016e+04 
       2.149627156466e-02       2.464677758592e+04 
       2.199698532199e-02       2.443552317578e+04 
       2.250936310248e-02       2.420901554501e+04 
       2.303367717674e-02       2.396520437297e+04 
       2.357020649215e-02       2.370606433542e+04 
       2.411923699791e-02       2.343152796062e+04 
       2.468106205076e-02       2.314184424079e+04 
       2.525598292870e-02       2.283801331640e+04 
       2.584430948679e-02       2.251985828321e+04 
       2.644636099693e-02       2.218849153285e+04 
       2.706246722101e-02       2.184507466720e+04 
       2.769296977549e-02       2.148998255459e+04 
       2.833822385199e-02       2.112417002409e+04 
       2.899860036522e-02       2.074868327263e+04 
       2.967448860299e-02       2.036485799782e+04 
       3.036629945394e-02       1.997382079718e+04 
       3.107446928608e-02       1.957686956814e+04 
       3.179946454091e-02       1.917483814045e+04 
       3.254178709612e-02       1.876942732908e+04 
       3.330198043088e-02       1.836172855667e+04 
       3.408063660488e-02       1.795348775149e+04 
       3.487840403366e-02       1.754578418825e+04 
       3.569599600992e-02       1.714026488745e+04 
       3.653419988522e-02       1.673803362209e+04 
       3.739388678861e-02       1.634069483727e+04 
       3.827602172115e-02       1.594944904530e+04 
       3.918167382851e-02       1.556553001865e+04 
       4.011202661975e-02       1.519033337685e+04 
       4.106838787014e-02       1.482484993891e+04 
       4.205219892026e-02       1.447023385488e+04 
       4.306504306417e-02       1.412734273920e+04 
       4.410865270696e-02       1.379710869514e+04 
       4.518491496736e-02       1.348034436411e+04 
       4.629587540660e-02       1.317739491200e+04 
       4.744373958187e-02       1.288881053577e+04 
       4.863087215392e-02       1.261483610689e+04 
       4.985979332620e-02       1.235507084092e+04 
       5.113317246011e-02       1.210957521712e+04 
       5.245381879808e-02       1.187720319005e+04 
       5.382466933384e-02       1.165677375996e+04 
       5.524877399499e-02       1.144665770101e+04 
       5.672927844060e-02       1.124459544365e+04 
       5.826940491871e-02       1.104808205994e+04 
       5.987243176328e-02       1.085357729631e+04 
       6.154167222490e-02       1.065681952577e+04 
       6.328045341150e-02       1.045391970070e+04 
       6.509209615275e-02       1.023995944205e+04 
       6.697989658899e-02       1.000972284415e+04 
       6.894711021908e-02       9.758657196383e+03 
       7.099693902718e-02       9.482491642577e+03 
       7.313252215591e-02       9.178294441961e+03 
       7.535693041623e-02       8.844484464174e+03 
       7.767316474060e-02       8.482253121583e+03 
       8.008415850998e-02       8.093626708107e+03 
       8.259278353130e-02       7.685173957154e+03 
       8.520185931990e-02       7.264339299548e+03 
       8.791416525423e-02       6.841670887158e+03 
       9.073245512044e-02       6.428166793085e+03 
       9.365947354637e-02       6.035655341989e+03 
       9.669797383482e-02       5.674509942554e+03 
       9.985073673579e-02       5.353309555121e+03 
       1.031205897416e-01       5.077104122024e+03 
       1.065104265402e-01       4.847587279157e+03 
       1.100232263150e-01       4.661453077608e+03 
       1.136620726344e-01       4.510925718125e+03 
       1.174301717198e-01       4.384340732771e+03 
       1.213308699257e-01       4.267021066495e+03 
       1.253676703013e-01       4.143233425031e+03 
       1.295442481306e-01       3.998492571070e+03 
       1.338644653713e-01       3.823909941970e+03 
       1.383323839238e-01       3.617146204335e+03 
       1.429522776709e-01       3.384979252642e+03 
       1.477286432265e-01       3.141183381533e+03 
       1.526662093234e-01       2.903328233862e+03 
       1.577699447567e-01       2.688556715334e+03 
       1.630450647798e-01       2.509251725021e+03 
       1.684970358198e-01       2.369881807393e+03 
       1.741315783516e-01       2.265973546411e+03 
       1.799546677292e-01       2.185126261826e+03 
       1.859725327328e-01       2.111444204167e+03 
       1.921916515485e-01       2.027063270156e+03 
       1.986187448451e-01       1.921252392164e+03 
       2.052607655714e-01       1.794973810254e+03 
       2.121248850460e-01       1.660232039451e+03 
       2.192184748709e-01       1.532390600848e+03 
       2.265490841614e-01       1.424080168285e+03 
       2.341244115552e-01       1.340349717654e+03 
       2.419522714495e-01       1.276760935173e+03 
       2.500405539151e-01       1.221092024289e+03 
       2.583971777616e-01       1.160514842461e+03 
       2.670300362815e-01       1.089270816217e+03 
       2.759469352943e-01       1.010914167274e+03 
       2.851555232430e-01       9.358279663100e+02 
       2.946632132861e-01       8.729281404658e+02 
       3.044770975756e-01       8.229209916162e+02 
       3.146038542281e-01       7.796994382900e+02 
       3.250496478846e-01       7.354452826652e+02 
       3.358200252253e-01       6.871753823016e+02 
       3.469198073447e-01       6.387251823973e+02 
       3.583529815070e-01       5.953478826769e+02 
       3.701225954638e-01       5.589237180363e+02 
       3.822306582039e-01       5.261968913995e+02 
       3.946780516793e-01       4.936445657539e+02 
       4.074644586560e-01       4.608477551913e+02 
       4.205883122963e-01       4.301252400341e+02 
       4.340467733210e-01       4.028082715753e+02 
       4.478357405165e-01       3.782280498157e+02 
       4.619498998650e-01       3.546797389586e+02 
       4.763828165964e-01       3.318577854368e+02 
       4.911270729497e-01       3.106400165181e+02 
       5.061744523860e-01       2.914846602969e+02 
       5.215161684808e-01       2.737056101218e+02 
       5.371431338941e-01       2.567765642515e+02 
